id,author,timestamp,phase,text,reply_to_id
99,Miguel,2024-02-25T18:57:00,shock,"Station Road, windows blown out.",
100,Tarek,2024-02-25T19:34:00,shock,Industrial Park – smoke in the distance.,60.0
101,Neighbor_3A,2024-02-25T19:51:00,shock,Riverside – smoke in the distance.,
102,Ana,2024-02-25T19:57:00,shock,"No signal from my parents in Hilltop, any news?",
103,Leo,2024-02-25T20:38:00,shock,"No signal from my parents in Industrial Park, any news?",90.0
104,Leo,2024-02-25T21:02:00,shock,Old Town – smoke in the distance.,
105,Ana,2024-02-25T21:42:00,shock,Anyone knows what happened near the bus depot?,
106,Neighbor_3A,2024-02-25T22:17:00,shock,Anyone knows what happened near the bus depot?,
107,Neighbor_3A,2024-02-25T22:26:00,shock,Is it safe to go near Museum? Sirens again.,
108,Lena,2024-02-25T22:32:00,shock,"Alameda Ave, windows blown out.",96.0
109,Tarek,2024-02-25T22:49:00,shock,Is it safe to go near North Station? Sirens again.,
110,Miguel,2024-02-25T22:59:00,shock,North Station – smoke in the distance.,
111,Leo,2024-02-25T23:07:00,shock,"Station Road, windows blown out.",
112,Lena,2024-02-25T23:22:00,shock,"River St, windows blown out.",
113,Mom,2024-02-25T23:40:00,shock,Old Town – smoke in the distance.,
114,Omar,2024-02-26T00:14:00,shock,Is it safe to go near Central Station? Sirens again.,110.0
115,Sara,2024-02-26T00:35:00,shock,Anyone knows what happened near the bus depot?,
116,Tarek,2024-02-26T00:48:00,shock,Anyone knows what happened near the bus depot?,25.0
117,Ana,2024-02-26T00:56:00,shock,"Market St, windows blown out.",
118,Ana,2024-02-26T01:04:00,shock,Anyone knows what happened near the playground behind the school?,
119,Tarek,2024-02-26T01:34:00,shock,North Station – smoke in the distance.,
120,Miguel,2024-02-26T02:10:00,shock,Is it safe to go near Central Station? Sirens again.,91.0
121,Neighbor_3A,2024-02-26T02:50:00,shock,"No signal from my parents in Hilltop, any news?",
122,Miguel,2024-02-26T03:10:00,shock,Anyone knows what happened near the orange pharmacy?,
123,Neighbor_3A,2024-02-26T03:48:00,shock,"No signal from my parents in Old Town, any news?",
124,Neighbor_3A,2024-02-26T04:19:00,shock,"Station Road, windows blown out.",
125,Miguel,2024-02-26T05:02:00,shock,"Central Blvd, windows blown out.",80.0
126,Leo,2024-02-26T05:09:00,shock,Is it safe to go near Riverside? Sirens again.,
127,Omar,2024-02-26T05:42:00,shock,Is it safe to go near Riverside? Sirens again.,
128,Lena,2024-02-26T06:00:00,shock,"No signal from my parents in Hilltop, any news?",91.0
129,Mom,2024-02-26T06:31:00,shock,"No signal from my parents in Industrial Park, any news?",4.0
130,Mom,2024-02-26T06:56:00,shock,Is it safe to go near Central Station? Sirens again.,
131,Tarek,2024-02-26T07:36:00,shock,Anyone knows what happened near the bus depot?,
132,Sara,2024-02-26T08:18:00,shock,Anyone knows what happened near the bakery on Market?,
133,Tarek,2024-02-26T08:55:00,shock,Is it safe to go near Riverside? Sirens again.,68.0
134,Omar,2024-02-26T09:40:00,shock,"Central Blvd, windows blown out.",
135,Sara,2024-02-26T10:09:00,shock,Is it safe to go near University? Sirens again.,
136,Tarek,2024-02-26T10:29:00,shock,Anyone knows what happened near the small park by the river?,
137,Mom,2024-02-26T11:14:00,shock,Is it safe to go near Riverside? Sirens again.,
138,Miguel,2024-02-26T11:37:00,shock,Is it safe to go near University? Sirens again.,
139,Neighbor_3A,2024-02-26T12:12:00,shock,Is it safe to go near University? Sirens again.,
140,Sara,2024-02-26T12:43:00,shock,"Station Road, windows blown out.",70.0
141,Leo,2024-02-26T12:59:00,shock,"No signal from my parents in Hilltop, any news?",
142,Tarek,2024-02-26T13:07:00,shock,Old Town – smoke in the distance.,
143,Neighbor_3A,2024-02-26T13:44:00,shock,Industrial Park – smoke in the distance.,
144,Neighbor_3A,2024-02-26T14:13:00,shock,Is it safe to go near North Station? Sirens again.,7.0
145,Leo,2024-02-26T14:21:00,shock,North Station – smoke in the distance.,15.0
146,Mom,2024-02-26T14:59:00,shock,"Station Road, windows blown out.",
147,Miguel,2024-02-26T15:35:00,shock,Is it safe to go near North Station? Sirens again.,47.0
148,Mom,2024-02-26T16:19:00,shock,Is it safe to go near Riverside? Sirens again.,
149,Tarek,2024-02-26T16:45:00,shock,Is it safe to go near Museum? Sirens again.,
150,Sara,2024-02-26T17:28:00,shock,Anyone knows what happened near the small park by the river?,64.0
151,Ana,2024-02-26T17:43:00,shock,Anyone knows what happened near the small park by the river?,
152,Lena,2024-02-26T18:10:00,shock,"Station Road, windows blown out.",
153,Omar,2024-02-26T18:48:00,shock,Is it safe to go near Museum? Sirens again.,
154,Tarek,2024-02-26T19:00:00,shock,"Alameda Ave, windows blown out.",32.0
155,Tarek,2024-02-26T19:26:00,shock,Anyone knows what happened near the orange pharmacy?,60.0
156,Lena,2024-02-26T19:43:00,shock,Hilltop – smoke in the distance.,
157,Ana,2024-02-26T20:14:00,shock,Anyone knows what happened near the small park by the river?,
158,Neighbor_3A,2024-02-26T20:37:00,shock,Hilltop – smoke in the distance.,
159,Omar,2024-02-26T21:06:00,shock,Anyone knows what happened near the orange pharmacy?,
160,Sara,2024-02-26T21:17:00,shock,Anyone knows what happened near the bus depot?,
161,Omar,2024-02-26T21:27:00,shock,Anyone knows what happened near the orange pharmacy?,
162,Miguel,2024-02-26T22:12:00,shock,Is it safe to go near Central Station? Sirens again.,
163,Lena,2024-02-26T22:26:00,shock,Is it safe to go near Museum? Sirens again.,
164,Leo,2024-02-26T23:02:00,shock,"Station Road, windows blown out.",163.0
165,Lena,2024-02-26T23:42:00,shock,"No signal from my parents in Industrial Park, any news?",111.0
166,Mom,2024-02-27T00:11:00,shock,"No signal from my parents in Old Town, any news?",36.0
167,Ana,2024-02-27T00:30:00,shock,"Market St, windows blown out.",149.0
168,Lena,2024-02-27T01:01:00,shock,Industrial Park – smoke in the distance.,
169,Mom,2024-02-27T01:22:00,shock,Anyone knows what happened near the orange pharmacy?,
170,Sara,2024-02-27T02:00:00,shock,Anyone knows what happened near the bakery on Market?,
171,Miguel,2024-02-27T02:08:00,shock,Anyone knows what happened near the bakery on Market?,146.0
172,Omar,2024-02-27T02:32:00,shock,Anyone knows what happened near the small park by the river?,47.0
173,Ana,2024-02-27T02:43:00,shock,Is it safe to go near Central Station? Sirens again.,
174,Omar,2024-02-27T03:18:00,shock,"River St, windows blown out.",
175,Ana,2024-02-27T03:48:00,shock,Is it safe to go near Central Station? Sirens again.,
176,Tarek,2024-02-27T04:27:00,shock,Anyone knows what happened near the small park by the river?,
177,Miguel,2024-02-27T04:58:00,shock,North Station – smoke in the distance.,
178,Tarek,2024-02-27T05:25:00,shock,Anyone knows what happened near the playground behind the school?,
179,Tarek,2024-02-27T05:40:00,shock,"No signal from my parents in Old Town, any news?",13.0
180,Miguel,2024-02-27T06:14:00,shock,Anyone knows what happened near the small park by the river?,
181,Miguel,2024-02-27T06:44:00,shock,Anyone knows what happened near the bakery on Market?,146.0
182,Miguel,2024-02-27T06:54:00,shock,"No signal from my parents in Hilltop, any news?",
183,Mom,2024-02-27T07:03:00,shock,"Central Blvd, windows blown out.",
184,Ana,2024-02-27T07:45:00,shock,Is it safe to go near Riverside? Sirens again.,
185,Ana,2024-02-27T08:03:00,shock,Anyone knows what happened near the orange pharmacy?,
186,Sara,2024-02-27T08:12:00,shock,Is it safe to go near North Station? Sirens again.,
187,Ana,2024-02-27T08:55:00,shock,Is it safe to go near University? Sirens again.,
188,Mom,2024-02-27T09:08:00,shock,"Market St, windows blown out.",
189,Ana,2024-02-27T09:14:00,shock,Is it safe to go near University? Sirens again.,
190,Ana,2024-02-27T09:19:00,shock,"River St, windows blown out.",
191,Tarek,2024-02-27T09:42:00,shock,Old Town – smoke in the distance.,
192,Miguel,2024-02-27T10:26:00,shock,"No signal from my parents in Old Town, any news?",
193,Lena,2024-02-27T10:54:00,shock,"Market St, windows blown out.",
194,Leo,2024-02-27T11:29:00,shock,Is it safe to go near Riverside? Sirens again.,
195,Tarek,2024-02-27T12:00:00,shock,"River St, windows blown out.",
196,Sara,2024-02-27T12:45:00,shock,Anyone knows what happened near the bus depot?,
197,Neighbor_3A,2024-02-27T13:14:00,shock,Anyone knows what happened near the bakery on Market?,
198,Neighbor_3A,2024-02-27T13:57:00,shock,Anyone knows what happened near the playground behind the school?,
199,Omar,2024-02-27T14:38:00,shock,Industrial Park – smoke in the distance.,
200,Tarek,2024-02-27T15:05:00,shock,Anyone knows what happened near the bakery on Market?,182.0
201,Ana,2024-02-27T15:50:00,negotiation,"Stop reposting that clip, it's from last year, not today.",
202,Miguel,2024-02-27T16:04:00,negotiation,"Admins: delete videos with street signs, it's not safe.",
203,Neighbor_3A,2024-02-27T16:23:00,negotiation,"We need this chat for real alerts, not for panic.",123.0
204,Miguel,2024-02-27T16:30:00,negotiation,"We need this chat for real alerts, not for panic.",85.0
205,Sara,2024-02-27T17:12:00,negotiation,"Admins: delete videos with street signs, it's not safe.",
206,Tarek,2024-02-27T17:26:00,negotiation,"We need this chat for real alerts, not for panic.",34.0
207,Leo,2024-02-27T18:11:00,negotiation,"Admins: delete videos with street signs, it's not safe.",
208,Lena,2024-02-27T18:20:00,negotiation,"We need this chat for real alerts, not for panic.",
209,Neighbor_3A,2024-02-27T18:59:00,negotiation,"Stop reposting that clip, it's from last year, not today.",
210,Ana,2024-02-27T19:20:00,negotiation,"Stop reposting that clip, it's from last year, not today.",
211,Ana,2024-02-27T19:38:00,negotiation,"Stop reposting that clip, it's from last year, not today.",207.0
212,Omar,2024-02-27T19:46:00,negotiation,"Please don't post exact locations, they can adjust fire from this.",55.0
213,Tarek,2024-02-27T20:12:00,negotiation,"Stop reposting that clip, it's from last year, not today.",
214,Sara,2024-02-27T20:22:00,negotiation,"If you share info, mark it as verified or rumor, please.",
215,Miguel,2024-02-27T20:27:00,negotiation,"We need this chat for real alerts, not for panic.",
216,Sara,2024-02-27T20:54:00,negotiation,"Please don't post exact locations, they can adjust fire from this.",8.0
217,Lena,2024-02-27T21:14:00,negotiation,"We need this chat for real alerts, not for panic.",
218,Miguel,2024-02-27T21:51:00,negotiation,"Admins: delete videos with street signs, it's not safe.",
219,Neighbor_3A,2024-02-27T22:19:00,negotiation,"Stop reposting that clip, it's from last year, not today.",38.0
220,Neighbor_3A,2024-02-27T22:44:00,negotiation,"We need this chat for real alerts, not for panic.",
221,Tarek,2024-02-27T23:09:00,negotiation,"Please don't post exact locations, they can adjust fire from this.",
222,Miguel,2024-02-27T23:23:00,negotiation,"Admins: delete videos with street signs, it's not safe.",
223,Tarek,2024-02-28T00:04:00,negotiation,"Please don't post exact locations, they can adjust fire from this.",
224,Lena,2024-02-28T00:32:00,negotiation,"We need this chat for real alerts, not for panic.",
225,Lena,2024-02-28T00:43:00,negotiation,"Stop reposting that clip, it's from last year, not today.",
226,Ana,2024-02-28T00:59:00,negotiation,"We need this chat for real alerts, not for panic.",
227,Neighbor_3A,2024-02-28T01:16:00,negotiation,"Stop reposting that clip, it's from last year, not today.",41.0
228,Tarek,2024-02-28T01:56:00,negotiation,"Please don't post exact locations, they can adjust fire from this.",166.0
229,Miguel,2024-02-28T02:23:00,negotiation,"Please don't post exact locations, they can adjust fire from this.",
230,Leo,2024-02-28T03:04:00,negotiation,"If you share info, mark it as verified or rumor, please.",
231,Leo,2024-02-28T03:46:00,negotiation,"Please don't post exact locations, they can adjust fire from this.",42.0
232,Miguel,2024-02-28T03:51:00,negotiation,"We need this chat for real alerts, not for panic.",
233,Ana,2024-02-28T04:04:00,negotiation,"If you share info, mark it as verified or rumor, please.",
234,Tarek,2024-02-28T04:39:00,negotiation,"Stop reposting that clip, it's from last year, not today.",
235,Leo,2024-02-28T04:56:00,negotiation,"Stop reposting that clip, it's from last year, not today.",
236,Tarek,2024-02-28T05:29:00,negotiation,"Admins: delete videos with street signs, it's not safe.",
237,Mom,2024-02-28T06:06:00,negotiation,"If you share info, mark it as verified or rumor, please.",
238,Mom,2024-02-28T06:14:00,negotiation,"Please don't post exact locations, they can adjust fire from this.",219.0
239,Lena,2024-02-28T06:47:00,negotiation,"If you share info, mark it as verified or rumor, please.",
240,Leo,2024-02-28T06:59:00,negotiation,"We need this chat for real alerts, not for panic.",151.0
241,Miguel,2024-02-28T07:23:00,negotiation,"Please don't post exact locations, they can adjust fire from this.",
242,Tarek,2024-02-28T08:07:00,negotiation,"Please don't post exact locations, they can adjust fire from this.",
243,Ana,2024-02-28T08:35:00,negotiation,"Admins: delete videos with street signs, it's not safe.",
244,Mom,2024-02-28T09:00:00,negotiation,"Please don't post exact locations, they can adjust fire from this.",
245,Miguel,2024-02-28T09:19:00,negotiation,"We need this chat for real alerts, not for panic.",
246,Leo,2024-02-28T09:29:00,negotiation,"Please don't post exact locations, they can adjust fire from this.",
247,Tarek,2024-02-28T10:05:00,negotiation,"Stop reposting that clip, it's from last year, not today.",66.0
248,Omar,2024-02-28T10:27:00,negotiation,"Admins: delete videos with street signs, it's not safe.",
249,Miguel,2024-02-28T10:46:00,negotiation,"Stop reposting that clip, it's from last year, not today.",138.0
250,Ana,2024-02-28T11:22:00,negotiation,"If you share info, mark it as verified or rumor, please.",
251,Leo,2024-02-28T12:00:00,negotiation,"Please don't post exact locations, they can adjust fire from this.",69.0
252,Neighbor_3A,2024-02-28T12:22:00,negotiation,"If you share info, mark it as verified or rumor, please.",
253,Neighbor_3A,2024-02-28T13:06:00,negotiation,"We need this chat for real alerts, not for panic.",
254,Omar,2024-02-28T13:40:00,negotiation,"Admins: delete videos with street signs, it's not safe.",
255,Neighbor_3A,2024-02-28T13:54:00,negotiation,"Admins: delete videos with street signs, it's not safe.",
256,Sara,2024-02-28T14:01:00,negotiation,"Admins: delete videos with street signs, it's not safe.",
257,Tarek,2024-02-28T14:37:00,negotiation,"If you share info, mark it as verified or rumor, please.",
258,Lena,2024-02-28T15:11:00,negotiation,"Admins: delete videos with street signs, it's not safe.",13.0
259,Mom,2024-02-28T15:37:00,negotiation,"Admins: delete videos with street signs, it's not safe.",
260,Lena,2024-02-28T16:16:00,negotiation,"We need this chat for real alerts, not for panic.",
261,Neighbor_3A,2024-02-28T16:33:00,negotiation,"Admins: delete videos with street signs, it's not safe.",127.0
262,Leo,2024-02-28T17:02:00,negotiation,"Stop reposting that clip, it's from last year, not today.",112.0
263,Lena,2024-02-28T17:31:00,negotiation,"If you share info, mark it as verified or rumor, please.",
264,Ana,2024-02-28T18:02:00,negotiation,"Stop reposting that clip, it's from last year, not today.",
265,Lena,2024-02-28T18:28:00,negotiation,"Stop reposting that clip, it's from last year, not today.",
266,Leo,2024-02-28T19:08:00,negotiation,"Please don't post exact locations, they can adjust fire from this.",
267,Neighbor_3A,2024-02-28T19:53:00,negotiation,"Stop reposting that clip, it's from last year, not today.",
268,Mom,2024-02-28T19:58:00,negotiation,"Please don't post exact locations, they can adjust fire from this.",
269,Omar,2024-02-28T20:34:00,negotiation,"Please don't post exact locations, they can adjust fire from this.",
270,Omar,2024-02-28T21:04:00,negotiation,"Stop reposting that clip, it's from last year, not today.",
271,Ana,2024-02-28T21:17:00,negotiation,"Stop reposting that clip, it's from last year, not today.",
272,Ana,2024-02-28T22:02:00,negotiation,"Please don't post exact locations, they can adjust fire from this.",
273,Omar,2024-02-28T22:09:00,negotiation,"If you share info, mark it as verified or rumor, please.",
274,Leo,2024-02-28T22:21:00,negotiation,"We need this chat for real alerts, not for panic.",
275,Mom,2024-02-28T22:55:00,negotiation,"We need this chat for real alerts, not for panic.",
276,Leo,2024-02-28T23:20:00,negotiation,"If you share info, mark it as verified or rumor, please.",
277,Miguel,2024-02-28T23:39:00,negotiation,"Stop reposting that clip, it's from last year, not today.",
278,Lena,2024-02-29T00:22:00,negotiation,"If you share info, mark it as verified or rumor, please.",
279,Miguel,2024-02-29T00:57:00,negotiation,"Stop reposting that clip, it's from last year, not today.",174.0
280,Miguel,2024-02-29T01:22:00,negotiation,"Admins: delete videos with street signs, it's not safe.",216.0
281,Neighbor_3A,2024-02-29T02:01:00,negotiation,"Admins: delete videos with street signs, it's not safe.",
282,Ana,2024-02-29T02:37:00,negotiation,"Stop reposting that clip, it's from last year, not today.",
283,Lena,2024-02-29T03:21:00,negotiation,"Please don't post exact locations, they can adjust fire from this.",
284,Ana,2024-02-29T03:27:00,negotiation,"We need this chat for real alerts, not for panic.",
285,Ana,2024-02-29T04:06:00,negotiation,"We need this chat for real alerts, not for panic.",
286,Leo,2024-02-29T04:43:00,negotiation,"Stop reposting that clip, it's from last year, not today.",
287,Leo,2024-02-29T05:15:00,negotiation,"Admins: delete videos with street signs, it's not safe.",
288,Lena,2024-02-29T05:29:00,negotiation,"Stop reposting that clip, it's from last year, not today.",171.0
289,Lena,2024-02-29T05:47:00,negotiation,"Please don't post exact locations, they can adjust fire from this.",
290,Sara,2024-02-29T06:04:00,negotiation,"Stop reposting that clip, it's from last year, not today.",
291,Mom,2024-02-29T06:19:00,negotiation,"We need this chat for real alerts, not for panic.",
292,Tarek,2024-02-29T06:51:00,negotiation,"If you share info, mark it as verified or rumor, please.",
293,Miguel,2024-02-29T07:06:00,negotiation,"If you share info, mark it as verified or rumor, please.",158.0
294,Miguel,2024-02-29T07:38:00,negotiation,"Please don't post exact locations, they can adjust fire from this.",
295,Ana,2024-02-29T08:00:00,negotiation,"Stop reposting that clip, it's from last year, not today.",68.0
296,Leo,2024-02-29T08:39:00,negotiation,"Please don't post exact locations, they can adjust fire from this.",162.0
297,Lena,2024-02-29T09:08:00,negotiation,"If you share info, mark it as verified or rumor, please.",
298,Mom,2024-02-29T09:53:00,negotiation,"If you share info, mark it as verified or rumor, please.",181.0
299,Sara,2024-02-29T10:25:00,negotiation,"We need this chat for real alerts, not for panic.",
300,Miguel,2024-02-29T10:56:00,negotiation,"Please don't post exact locations, they can adjust fire from this.",
301,Omar,2024-02-29T11:02:00,negotiation,"Please don't post exact locations, they can adjust fire from this.",200.0
302,Sara,2024-02-29T11:30:00,negotiation,"Admins: delete videos with street signs, it's not safe.",
303,Tarek,2024-02-29T12:02:00,negotiation,"Please don't post exact locations, they can adjust fire from this.",
304,Leo,2024-02-29T12:29:00,negotiation,"Please don't post exact locations, they can adjust fire from this.",
305,Sara,2024-02-29T13:05:00,negotiation,"We need this chat for real alerts, not for panic.",272.0
306,Mom,2024-02-29T13:28:00,negotiation,"If you share info, mark it as verified or rumor, please.",
307,Mom,2024-02-29T13:42:00,negotiation,"We need this chat for real alerts, not for panic.",
308,Neighbor_3A,2024-02-29T13:54:00,negotiation,"We need this chat for real alerts, not for panic.",
309,Leo,2024-02-29T14:00:00,negotiation,"We need this chat for real alerts, not for panic.",
310,Lena,2024-02-29T14:13:00,negotiation,"Please don't post exact locations, they can adjust fire from this.",
311,Tarek,2024-02-29T14:32:00,negotiation,"If you share info, mark it as verified or rumor, please.",
312,Mom,2024-02-29T14:52:00,negotiation,"Please don't post exact locations, they can adjust fire from this.",
313,Neighbor_3A,2024-02-29T15:16:00,negotiation,"Stop reposting that clip, it's from last year, not today.",
314,Leo,2024-02-29T15:28:00,negotiation,"If you share info, mark it as verified or rumor, please.",
315,Miguel,2024-02-29T15:47:00,negotiation,"Please don't post exact locations, they can adjust fire from this.",
316,Mom,2024-02-29T16:16:00,negotiation,"Admins: delete videos with street signs, it's not safe.",
317,Leo,2024-02-29T16:49:00,negotiation,"Please don't post exact locations, they can adjust fire from this.",
318,Sara,2024-02-29T17:30:00,negotiation,"Stop reposting that clip, it's from last year, not today.",
319,Lena,2024-02-29T18:06:00,negotiation,"Please don't post exact locations, they can adjust fire from this.",
